Batch,ID,Description,Connector,Claimed_Bands,Cable_Length,2.4G_Resonant_Freq_MHz,2.4G_SWR_At_Resonance,2.4G_SWR_At_2400MHz,2.4G_SWR_At_2450MHz,2.4G_SWR_At_2484MHz,2.4G_Resonance_Offset_MHz,2.4G_Verdict,5G_Resonant_Freq_MHz,5G_SWR_At_Resonance,5G_SWR_At_5150MHz,5G_SWR_At_5500MHz,5G_SWR_At_5850MHz,5G_Verdict,Other_Freq_MHz,Other_SWR_At_Resonance,Other_Verdict,Overall_Verdict,Notes,Recommended_Use_Case
ST,TS-01,BOOBRIE 3cm Mini WiFi Stubby,SMA Male (direct),2.4 GHz,None,2326,1.753,-,1.90,2.00,-124,FAIL,-,-,-,-,-,NOT TESTED,-,-,-,FAIL - GRAVEYARD,Too short for efficient radiation. Acceptable passive BT scan only. GRAVEYARD for TX.,uConsole AIO BT1 port — acceptable for passive Bluetooth scanning only. GRAVEYARD for TX.
ST,TS-02,BOOBRIE 3cm Mini WiFi Stubby,SMA Male (direct),2.4 GHz,None,2425,1.900,-,1.90,1.90,-25,FAIL,-,-,-,-,-,NOT TESTED,-,-,-,FAIL - GRAVEYARD,Flat ~1.9 SWR - high resistive loss. Acceptable passive BT scan only. GRAVEYARD for TX.,uConsole AIO BT2 port — acceptable for passive Bluetooth scanning only. GRAVEYARD for TX.
ST,ST-LoRa,uConsole AIO LoRa Antenna,SMA Male (direct),915 MHz,None,983,1.317,-,1.60 (@915MHz),2.00 (@868MHz),+68 vs 915MHz,MARGINAL PASS,-,-,-,-,-,N/A,-,-,-,MARGINAL PASS,Genuine LoRa resonance. Tuned +68MHz high of US LoRa. EU LoRa borderline. Bundled with uConsole AIO.,uConsole LoRa port — measure Muziworks first; use as backup if Muziworks underperforms
GPS,GPS-00,Beitian BT-104L2 Active Spiral GNSS,SMA Male,GPS L1+L2,None,-,-,-,-,-,-,-,-,-,-,-,-,-,1621,1.018,PASS (passive element),PASS (passive element),Active spiral. LNA unpowered during test. Resonance 1621MHz (+46MHz vs L1). Excellent passive match at L1. Real-world better with LNA powered.,"PRIMARY: uConsole GPS port (Top 2) — Beitian BT-104L2, best GPS antenna in inventory"
GPS,GPS-01,Unknown GNSS (possibly Beitian BT-104),SMA Male,GPS L1+L2,None,-,-,-,-,-,-,-,-,-,-,-,-,-,1215,1.200,MARGINAL PASS (passive),MARGINAL PASS (passive),Unbranded. Broad flat response. Passive element near GPS L2. Cannot evaluate LNA without bias tee.,GPS spare — marginal passive; test with bias tee before deploying
GPS,GPS-02,Unknown GNSS (possibly Beitian BT-104),SMA Male,GPS L1+L2,None,-,-,-,-,-,-,-,-,-,-,-,-,-,1140,1.201,MARGINAL PASS (passive),MARGINAL PASS (passive),Unbranded. Physically identical to GPS-01/03. Passive element at 1140MHz.,GPS spare — marginal passive; test with bias tee before deploying
GPS,GPS-03,Unknown GNSS (possibly Beitian BT-104),SMA Male,GPS L1+L2,None,-,-,-,-,-,-,-,-,-,-,-,-,-,1140,1.214,MARGINAL PASS (passive),MARGINAL PASS (passive),Unbranded. Near-identical to GPS-02. Good unit-to-unit consistency.,GPS spare — marginal passive; test with bias tee before deploying
GPS,GPS-04,Unknown GNSS Antenna,SMA Male,GPS L1+L2,None,-,-,-,-,-,-,-,-,-,-,-,-,-,<1000,1.045,FAIL (passive element),FAIL (passive element),Passive element resonates below 1GHz - outside cal range. Monotonically rising trace. Possible counterfeit.,FAIL — passive element below 1GHz. Do not use for GPS.
GPS,GPS-05,uConsole AIO Bundled GPS Antenna,SMA Male,GPS L1,None,-,-,-,-,-,-,-,-,-,-,-,-,-,1553,2.524,FAIL (passive element),FAIL (passive element),Bundled with Clockwork uConsole AIO. Resonance near L1 but SWR 2.5 - poor impedance match. Possible patch needing ground plane.,FAIL — poor impedance match. uConsole bundled; replace with GPS-00.
GPS,GPS-06,Beitian BT-T076 Active Spiral GNSS,SMA Male,GPS full-band,None,-,-,-,-,-,-,-,-,-,-,-,-,-,>1700,1.233,PASS (passive element),PASS (passive element),Active full-band spiral. LNA unpowered. Passive resonates above 1.7GHz but SWR ~1.30 at L1 is good. Real-world better with LNA powered.,GPS spare — good passive at L1; test with bias tee before deploying
BPi,BPi-01,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2475,1.026,~1.20,~1.05,~1.10,+25,PASS,4935,1.141,~1.60,~1.40,~1.35,PASS,-,-,-,PASS,Best 2.4GHz unit. Near-perfect SWR. Dual band confirmed. Metal chassis will improve performance.,"PRIMARY: uConsole AC1200 WiFi 2 (Top 5) — best 2.4GHz in batch, strong 5GHz"
BPi,BPi-02,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2478,1.250,~1.80,~1.30,~1.28,+28,PASS,4976,1.160,~1.65,~1.55,~1.40,PASS,-,-,-,PASS,Good 2.4GHz. Consistent with BPi-01 at 5GHz. Dual band confirmed.,General dual-band spare — weakest 2.4GHz of batch
BPi,BPi-03,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2464,1.190,~1.60,~1.22,~1.18,+14,PASS,5000,1.164,~1.65,~1.45,~1.40,PASS,-,-,-,PASS,Good dual band. 5GHz resonance right at band edge.,General dual-band spare
BPi,BPi-04,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2460,1.144,~1.50,~1.16,~1.12,+10,PASS,4944,1.199,~1.70,~1.55,~1.40,PASS,-,-,-,PASS,Good dual band. Consistent with batch.,General dual-band spare — solid both bands
BPi,BPi-05,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2468,1.235,~1.70,~1.26,~1.22,+18,PASS,4968,1.109,~1.55,~1.40,~1.35,PASS,-,-,-,PASS,Good dual band. Slightly higher 2.4GHz SWR than BPi-01.,Signal Sleuth 5GHz port — excellent 5GHz SWR 1.109; weaker 2.4GHz
BPi,BPi-06,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2464,1.213,~1.60,~1.22,~1.18,+14,PASS,4960,1.144,~1.60,~1.40,~1.35,PASS,-,-,-,PASS,Good dual band. Consistent with batch.,General dual-band spare
BPi,BPi-07,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2485,1.099,~1.45,~1.10,~1.08,+35,PASS,4976,1.130,~1.60,~1.40,~1.30,PASS,-,-,-,PASS,Strong dual band. 2.4GHz slightly high offset but excellent SWR.,Signal Sleuth 5GHz port or spare — best 5GHz in BPi batch (1.130); strong 2.4GHz
BPi,BPi-08,Banana Pi R3 Bundled Dual Band WiFi Antenna,RP-SMA Male (adapter),2.4+5 GHz,None,2471,1.174,~1.55,~1.20,~1.15,+21,PASS,4960,1.185,~1.65,~1.50,~1.40,PASS,-,-,-,PASS,Good dual band. Consistent with batch.,"General dual-band spare — good 2.4GHz, decent 5GHz"
BF,BF-01,Bingfu Dual Band 8dBi WiFi Antenna 16cm,RP-SMA Male (adapter),2.4+5 GHz,None,2595,1.185,~1.90,~1.55,~1.40,+145,MARGINAL PASS,5064,1.137,~1.60,~1.80,~4.00+,MARGINAL PASS,-,-,-,MARGINAL PASS,Resonance +145MHz high. 5GHz collinear narrow bandwidth. 8dBi claim marketing fiction at this length.,Signal Sleuth upper 2.4GHz channels only — acceptable at 2484MHz (~1.40 SWR). Not recommended for full-band use.
BF,BF-02,Bingfu Dual Band 8dBi WiFi Antenna 16cm,RP-SMA Male (adapter),2.4+5 GHz,None,2595,1.149,~1.90,~1.50,~1.35,+145,MARGINAL PASS,5018,1.222,~1.70,~1.80,~4.00+,MARGINAL PASS,-,-,-,MARGINAL PASS,Consistent with BF-01. Same systematic high offset. Narrow 5GHz bandwidth.,Signal Sleuth upper 2.4GHz channels only — same as BF-01
BF,BF-03,Bingfu Dual Band 8dBi WiFi Antenna 16cm,RP-SMA Male (adapter),2.4+5 GHz,None,2595,1.141,~1.90,~1.45,~1.30,+145,MARGINAL PASS,5064,1.118,~1.55,~1.75,~4.00+,MARGINAL PASS,-,-,-,MARGINAL PASS,Consistent with BF-01/02. Best SWR min of batch.,Signal Sleuth upper 2.4GHz channels only — best SWR min of BF batch
BF,BF-04,Bingfu Dual Band 8dBi WiFi Antenna 16cm,RP-SMA Male (adapter),2.4+5 GHz,None,2595,1.163,~1.90,~1.50,~1.35,+145,MARGINAL PASS,5064,1.125,~1.55,~1.80,~4.00+,MARGINAL PASS,-,-,-,MARGINAL PASS,Consistent with batch. Excellent unit-to-unit consistency across all 4 BF units.,Signal Sleuth upper 2.4GHz channels only — drawer spare
SF,SF-01,Sixfab S158 Tri-Band WiFi 6E/7 Antenna,RP-SMA Male (hinged),2.4+5+6 GHz,None,2263,1.353,~1.85,~1.80,~1.85,-187,MARGINAL PASS,>6000,N/A,~1.80,~1.80,~1.70,MARGINAL PASS,6051,1.293,PASS,MARGINAL PASS,Tri-band confirmed. 2.4GHz below band. 5GHz broad no sharp dip. 6GHz best. Mfr VSWR spec <=1.4 not met at 2.4/5GHz.,Travel spare — tri-band coverage useful but underperforms spec. Replaced on uConsole by RED-01.
RED,RED-01,Flat Paddle Gaming Router Antenna (unbranded),RP-SMA Male (adapter),2.4+5 GHz,None,2399,1.215,~1.25 (@2400),~1.25,~1.35,-51,PASS,>6000,~1.43,~1.60,~1.45,~1.40,PASS,-,-,-,PASS,Flat paddle planar dipole. Broad 5GHz coverage - dip above 6GHz but SWR <1.6 across entire 5GHz band. Superior 5GHz bandwidth vs round stubbies. Possibly ASUS ROG compatible.,PRIMARY: uConsole AC1200 WiFi 1 (Left side SMA) — best 5GHz bandwidth of any antenna in inventory; excellent monitor mode antenna
RED,RED-02,Flat Paddle Gaming Router Antenna (unbranded),RP-SMA Male (adapter),2.4+5 GHz,None,2390,1.240,~1.28 (@2400),~1.28,~1.35,-60,PASS,5981,1.175,~1.45,~1.55,~1.35,PASS,-,-,-,PASS,Consistent with RED-01. Excellent broad 5GHz coverage. Clean dual band.,Travel spare / backup for RED-01 — identical performance; deploy if RED-01 unavailable
HF,HF-01,Single-band stick,RP-SMA Male,2.4 GHz,None,2499,1.159,~2.60,~1.20,~1.16,+49,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Upper channels excellent; low channels SWR ~2.6; harmonic at 5.91GHz not usable,Signal Sleuth 2.4GHz — upper channels excellent; avoid if low channel coverage needed
HF,HF-02,Single-band stick,RP-SMA Male,2.4 GHz,None,2491,1.157,~2.60,~1.20,~1.16,+40.5,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Similar to HF-01; upper channels excellent,Signal Sleuth 2.4GHz — upper channels excellent; avoid if low channel coverage needed
HF,HF-03,Single-band stick,RP-SMA Male,2.4 GHz,None,2467,1.099,~2.80,~1.10,~1.12,+17.25,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Best centered of HF batch; excellent across ch 1-13,PRIMARY: Signal Sleuth 2.4GHz — best centered of HF batch; excellent across all channels
HF,HF-04,Single-band stick,RP-SMA Male,2.4 GHz,None,2420,1.115,~1.85,~1.15,~1.25,-30.5,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Resonance shifted low; low channels excellent; upper acceptable,Signal Sleuth 2.4GHz — good low channel coverage; weaker upper channels
HF,HF-05,Single-band stick,RP-SMA Male,2.4 GHz,None,2463,1.142,~1.95,~1.15,~1.18,+13,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Well centered; similar to HF-03,Signal Sleuth 2.4GHz — well centered; solid all-channel performance
HF,HF-06,Single-band stick,RP-SMA Male,2.4 GHz,None,2493,1.070,~3.00,~1.20,~1.08,+42.75,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Best SWR min of HF batch; upper channels exceptional,Signal Sleuth 2.4GHz — best SWR min of batch; upper channels exceptional
TC,TC-01,TECHTOO 9dBi Single-band stick,SMA Male,2.4 GHz,None,2446,1.001,~3.10,~1.00,~1.15,-3.75,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Best centered antenna of entire session; nearly perfect SWR 1.0 at resonance,PRIMARY: Signal Sleuth 2.4GHz — best centered antenna in entire inventory (SWR 1.001). Top pick for any 2.4GHz-primary device.
AL,AL-01,Alfa 9dBi Single-band stick,SMA Male,2.4 GHz,None,2374,1.076,~2.00,~1.20,~1.35,-76.5,PASS,-,-,-,-,-,N/A,-,-,-,PASS,Resonance significantly low; worst offset of session; upper channels degraded,Signal Sleuth 2.4GHz backup only — worst offset in session; upper channels degraded
BFD,BFD-01,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2463,1.278,~3.00,~1.55,~1.35,+13,MARGINAL,5197,1.102,~1.20,N/A,N/A,PASS,-,-,-,MIXED,Poor 2.4GHz match; good 5GHz resonance,Spare — poor 2.4GHz match; good 5GHz. Use only if better options unavailable.
BFD,BFD-02,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2467,1.005,~2.80,~1.10,~1.15,+16.5,PASS,>6000,N/A,N/A,N/A,N/A,FAIL,-,-,-,2.4 ONLY,Excellent 2.4GHz; no usable 5GHz resonance,Signal Sleuth 2.4GHz backup — good 2.4GHz match; no 5GHz capability
BFD,BFD-03,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2470,1.258,~2.90,~1.35,~1.28,+19.5,MARGINAL,5165,1.120,~1.12,N/A,N/A,PASS,-,-,-,MIXED,Poor 2.4GHz match; good 5GHz resonance,Spare — poor 2.4GHz match; good 5GHz. Use only if better options unavailable.
BFD,BFD-04,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2467,1.005,~2.80,~1.10,~1.15,+16.5,PASS,5197,1.241,~1.30,N/A,N/A,PASS,-,-,-,PASS,Good at both bands; best overall BFD unit,PRIMARY: uConsole CM4 WiFi (Top 3) — best BFD unit; solid dual-band for 5GHz-only network access
BFD,BFD-05,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2434,1.297,~1.65,~1.30,~1.45,-16.5,MARGINAL,5191,1.233,~1.28,N/A,N/A,PASS,-,-,-,MIXED,Poor 2.4GHz match; good 5GHz resonance,Spare — poor 2.4GHz match; good 5GHz. Use only if better options unavailable.
BFD,BFD-06,Bingfu 8dBi Dual-band stick,RP-SMA Male,2.4+5 GHz,None,2432,1.057,~1.35,~1.10,~1.25,-18,PASS,>6000,N/A,N/A,N/A,N/A,FAIL,-,-,-,2.4 ONLY,Good 2.4GHz; no usable 5GHz resonance,Signal Sleuth 2.4GHz backup — good 2.4GHz match; no 5GHz capability
D3,D3-01,Dual-band stick 3dBi,SMA Male,2.4+5 GHz,None,2449,1.596,~4.00,~1.60,~1.65,-1.5,MARGINAL,4957,1.493,N/A,N/A,N/A,FAIL,-,-,-,FAIL - GRAVEYARD,Worst 2.4GHz match of session; 5GHz resonance 200MHz below band,GRAVEYARD — both bands fail. Do not use.
D3,D3-02,Dual-band stick 3dBi,SMA Male,2.4+5 GHz,None,2419,1.337,~1.55,~1.38,~1.55,-31.5,MARGINAL,4906,1.102,N/A,N/A,N/A,FAIL,-,-,-,FAIL - GRAVEYARD,Poor 2.4GHz; 5GHz resonance 250MHz below band,GRAVEYARD — both bands fail. Do not use.
LR,LR-01,Slinkdsco 5dBi 915MHz LoRa N-male,N Male,915 MHz,None,-,-,-,-,-,-,-,-,-,-,-,-,-,893,1.221,PASS,PASS,Offset -22MHz; does not fully meet claimed SWR<=1.2 spec across band,uConsole LoRa port backup — functional but does not meet spec across full band
LR,LR-02,Slinkdsco 5dBi 915MHz LoRa N-male,N Male,915 MHz,None,-,-,-,-,-,-,-,-,-,-,-,-,-,898,1.012,PASS,PASS,Offset -17MHz; excellent match; best LoRa unit; meets spec,PRIMARY: uConsole LoRa port — best LoRa antenna in inventory (SWR 1.012). Needs N-male to SMA adapter.
LTE,LTE-01,Sixfab Broadband Blade Antenna,SMA Male,LTE broadband,None,-,-,-,-,-,-,-,-,-,-,-,-,-,622 / 1445 / 2439,1.374 / 1.105 / 1.217,PASS,PASS,Multi-resonance broadband. Best for wardriving/RayHunter. Also suitable for ADS-B 1090MHz. Sixfab blade.,PRIMARY: uConsole SDR/ADS-B port (Top 1) when traveling — best mobile ADS-B antenna available; broadband coverage includes 1090MHz. Also useful for LTE wardriving/RayHunter.
LTE,LTE-02,Spypoint Trail Cam Whip,SMA Male,LTE narrow,None,-,-,-,-,-,-,-,-,-,-,-,-,-,850 / 1700,~1.20 / ~1.38,MARGINAL,MARGINAL,Narrow-band trail cam antenna. Poor outside ~850MHz and ~1700MHz. Not recommended for general LTE wardriving.,Drawer spare — narrow-band trail cam antenna; poor for general wardriving use
BF-Cable,BF-Cable-01,Bingfu Mag-mount Dual-band 9dBi,RP-SMA Male,2.4+5 GHz,290cm RG174,2477 (valley),1.002 (valley floor),-,-,-,-,PASS (relative),5114 (valley),1.037 (valley floor),-,-,-,PASS (relative),-,-,-,PASS,Measured through integral cable; relative comparison only; best valley floor of all cable antennas,Wardriving mag-mount — best valley floor of all cable antennas; deploy on vehicle roof for mobile wardriving sessions
BF-Cable,BF-Cable-02,Bingfu Mag-mount Dual-band 9dBi,RP-SMA Male,2.4+5 GHz,290cm RG174,-,-,-,-,-,-,PASS (assumed),-,-,-,-,-,PASS (assumed),-,-,-,PASS (assumed),Assumed same as BF-Cable-01; same product/cable length; verify when possible,Wardriving mag-mount backup — assumed same performance as BF-Cable-01; verify before critical deployment
MIMO3,MIMO3-A,3-port MIMO Router Array (round base),SMA Male,2.4 GHz (single-band),~190cm integral,2435 (valley),1.012 (valley floor),-,-,-,-,PASS (relative),4808,1.028,-,-,-,MARGINAL,-,-,-,PASS,Best 2.4GHz port of MIMO3; 5GHz incidental harmonic only; cable-affected measurement,Fixed-location 2.4GHz MIMO coverage — best port of MIMO3; not suitable for portable use due to 190cm cable
MIMO3,MIMO3-B,3-port MIMO Router Array (round base),SMA Male,2.4 GHz (single-band),~190cm integral,2398 (valley),1.015 (valley floor),-,-,-,-,PASS (relative),4806,1.227,-,-,-,MARGINAL,-,-,-,PASS,Tied best with MIMO3-A at 2.4GHz; cable-affected measurement,Fixed-location 2.4GHz MIMO coverage — tied with MIMO3-A; not suitable for portable use
MIMO3,MIMO3-C,3-port MIMO Router Array (round base),SMA Male,2.4 GHz (single-band),~190cm integral,2488 (valley),1.072 (valley floor),-,-,-,-,PASS (relative),4819,1.207,-,-,-,MARGINAL,-,-,-,PASS,Weakest 2.4GHz port; best 5GHz of MIMO3; cable-affected measurement,Fixed-location 2.4GHz MIMO coverage — weakest 2.4GHz port; best 5GHz of batch
