batch_id,unit_id,description,connector,primary_band,scan_label,scan_range_mhz,res_freq_mhz,swr_at_res,spot1_label,spot1_freq_mhz,spot1_swr,spot2_label,spot2_freq_mhz,spot2_swr,spot3_label,spot3_freq_mhz,spot3_swr,overall_status,notes
BF,BF-02,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5064.0,1.055,5150MHz,5150.0,1.923,5500MHz,5500.0,2.714,5850MHz,5850.0,4.253,Do_Not_Use,2.4 GHz resonance 2559.5 MHz above WiFi band.
BF,BF-03,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2576.8,1.527,2400MHz,2400.0,1.939,2450MHz,2450.0,1.743,2484MHz,2484.0,1.673,Do_Not_Use,2.4 GHz resonance 2576.8 MHz above WiFi band.
BF,BF-03,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5025.0,1.174,5150MHz,5150.0,1.895,5500MHz,5500.0,2.593,5850MHz,5850.0,6.091,Do_Not_Use,2.4 GHz resonance 2576.8 MHz above WiFi band.
BFD,BFD-01,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2467.2,1.33,2400MHz,2400.0,1.585,2450MHz,2450.0,1.344,2484MHz,2484.0,1.344,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BFD,BFD-01,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5223.0,1.038,5150MHz,5150.0,1.297,5500MHz,5500.0,1.613,5850MHz,5850.0,1.841,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BFD,BFD-02,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2456.8,1.111,2400MHz,2400.0,1.339,2450MHz,2450.0,1.117,2484MHz,2484.0,1.193,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BFD,BFD-02,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5196.0,1.166,5150MHz,5150.0,1.254,5500MHz,5500.0,1.371,5850MHz,5850.0,1.572,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BFD,BFD-03,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2456.8,1.028,2400MHz,2400.0,1.306,2450MHz,2450.0,1.042,2484MHz,2484.0,1.223,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.06), 2.4G good (1.22)"
BFD,BFD-03,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5976.0,1.152,5150MHz,5150.0,1.519,5500MHz,5500.0,1.534,5850MHz,5850.0,1.833,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.06), 2.4G good (1.22)"
BFD,BFD-04,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2458.2,1.052,2400MHz,2400.0,1.422,2450MHz,2450.0,1.073,2484MHz,2484.0,1.196,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.01), 2.4G good (1.32)"
BFD,BFD-04,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5247.0,1.128,5150MHz,5150.0,1.573,5500MHz,5500.0,1.602,5850MHz,5850.0,1.952,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.01), 2.4G good (1.32)"
BFD,BFD-05,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2429.8,1.272,2400MHz,2400.0,1.422,2450MHz,2450.0,1.289,2484MHz,2484.0,1.382,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.10), 2.4G good (1.38)"
BFD,BFD-05,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5208.0,1.055,5150MHz,5150.0,1.306,5500MHz,5500.0,1.484,5850MHz,5850.0,1.974,Marginal,"Bingfu 8dBi dual-band paddle. Similar form factor to BF batch. | Marginal — 5G weak (max SWR 2.10), 2.4G good (1.38)"
BFD,BFD-06,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2462.8,1.068,2400MHz,2400.0,1.294,2450MHz,2450.0,1.085,2484MHz,2484.0,1.12,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BFD,BFD-06,Bingfu Clone (AliExpress) 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5205.0,1.16,5150MHz,5150.0,1.301,5500MHz,5500.0,1.422,5850MHz,5850.0,1.688,Good,Bingfu 8dBi dual-band paddle. Similar form factor to BF batch.
BF-Cable,BF-Cable-01,Bingfu 9dBi dual-band magmount antenna with cable,SMA Male,2.4GHz,2.4GHz,2300–2600,2478.5,1.008,2400MHz,2400.0,1.141,2450MHz,2450.0,1.095,2484MHz,2484.0,1.095,Good,Cable-affected measurement — integral cable as shipped. SWR@res is primary validity metric. 9dBi claimed.
BF-Cable,BF-Cable-01,Bingfu 9dBi dual-band magmount antenna with cable,SMA Male,5GHz,5GHz,4800–6000,5352.0,1.063,5150MHz,5150.0,1.25,5500MHz,5500.0,1.159,5850MHz,5850.0,1.105,Good,Cable-affected measurement — integral cable as shipped. SWR@res is primary validity metric. 9dBi claimed.
BF-Cable,BF-Cable-02,Bingfu 9dBi dual-band magmount antenna with cable,SMA Male,2.4GHz,2.4GHz,2300–2600,2574.5,1.018,2400MHz,2400.0,1.085,2450MHz,2450.0,1.217,2484MHz,2484.0,1.21,Good,Cable-affected measurement — integral cable as shipped. SWR@res is primary validity metric. 9dBi claimed.
BF-Cable,BF-Cable-02,Bingfu 9dBi dual-band magmount antenna with cable,SMA Male,5GHz,5GHz,4800–6000,5598.0,1.132,5150MHz,5150.0,1.284,5500MHz,5500.0,1.183,5850MHz,5850.0,1.273,Good,Cable-affected measurement — integral cable as shipped. SWR@res is primary validity metric. 9dBi claimed.
D3,D3-01,AliExpress dual-band 3dBi stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2488.2,1.418,2400MHz,2400.0,2.273,2450MHz,2450.0,1.611,2484MHz,2484.0,1.436,Do_Not_Use,2.4 GHz resonance 2488.2 MHz above WiFi band.
D3,D3-01,AliExpress dual-band 3dBi stick antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5004.0,1.336,5150MHz,5150.0,3.34,5500MHz,5500.0,1.847,5850MHz,5850.0,2.686,Do_Not_Use,2.4 GHz resonance 2488.2 MHz above WiFi band.
D3,D3-02,AliExpress dual-band 3dBi stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2413.2,1.81,2400MHz,2400.0,1.907,2450MHz,2450.0,1.912,2484MHz,2484.0,2.035,Do_Not_Use,
D3,D3-02,AliExpress dual-band 3dBi stick antenna,RP-SMA Male,5GHz,5GHz,4800–6000,4989.0,1.064,5150MHz,5150.0,2.763,5500MHz,5500.0,1.96,5850MHz,5850.0,2.543,Do_Not_Use,
DSTIKE,dstikedish-01,DSTIKE directional dish antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2512.2,1.008,2400MHz,2400.0,1.997,2450MHz,2450.0,1.481,2484MHz,2484.0,1.414,Marginal,"2.4 GHz resonance 2512.2 MHz above WiFi band. Directional dish — gain pattern not captured by SWR alone; match only. | Marginal — 5G weak (max SWR 2.06), 2.4G good (1.70)"
DSTIKE,dstikedish-01,DSTIKE directional dish antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5556.0,1.02,5150MHz,5150.0,1.977,5500MHz,5500.0,1.63,5850MHz,5850.0,1.412,Marginal,"2.4 GHz resonance 2512.2 MHz above WiFi band. Directional dish — gain pattern not captured by SWR alone; match only. | Marginal — 5G weak (max SWR 2.06), 2.4G good (1.70)"
HF,HF-01,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2495.8,1.223,2400MHz,2400.0,2.009,2450MHz,2450.0,1.457,2484MHz,2484.0,1.234,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated. Resonance 2495.8 MHz above WiFi band.
HF,HF-02,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2475.5,1.159,2400MHz,2400.0,1.682,2450MHz,2450.0,1.274,2484MHz,2484.0,1.173,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated.
HF,HF-03,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2460.5,1.025,2400MHz,2400.0,1.656,2450MHz,2450.0,1.117,2484MHz,2484.0,1.209,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated.
HF,HF-04,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2444.8,1.149,2400MHz,2400.0,1.4,2450MHz,2450.0,1.155,2484MHz,2484.0,1.41,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated.
HF,HF-05,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2468.8,1.114,2400MHz,2400.0,1.418,2450MHz,2450.0,1.136,2484MHz,2484.0,1.119,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated.
HF,HF-06,AliExpress single-band 2.4 GHz stick antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2489.0,1.034,2400MHz,2400.0,1.931,2450MHz,2450.0,1.329,2484MHz,2484.0,1.048,Good,AliExpress single-band 2.4 GHz stick. 5 GHz not tested/not rated. Resonance 2489.0 MHz above WiFi band.
SF,SF-01,Sixfab S158 tri-band Wi-Fi 6E/7 antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2300.8,1.351,2400MHz,2400.0,1.633,2450MHz,2450.0,1.909,2484MHz,2484.0,2.117,Marginal,"Sixfab S158 tri-band Wi-Fi 6E/7. 6 GHz band not tested (scan range 4.8-6.0 GHz covers lower 6 GHz only). 2.4 GHz resonance 2300.8 MHz below band center. | Marginal — 2.4G 2.12, 5G 2.54"
SF,SF-01,Sixfab S158 tri-band Wi-Fi 6E/7 antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5961.0,1.05,5150MHz,5150.0,2.202,5500MHz,5500.0,2.374,5850MHz,5850.0,1.382,Marginal,"Sixfab S158 tri-band Wi-Fi 6E/7. 6 GHz band not tested (scan range 4.8-6.0 GHz covers lower 6 GHz only). 2.4 GHz resonance 2300.8 MHz below band center. | Marginal — 2.4G 2.12, 5G 2.54"
RED,RED-01,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2377.2,1.135,2400MHz,2400.0,1.185,2450MHz,2450.0,1.451,2484MHz,2484.0,1.586,Marginal,"Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2377.2 MHz below band center. | Marginal — 5G weak (max SWR 2.77), 2.4G good (1.59)"
RED,RED-01,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,5GHz,5GHz,4800–6000,5259.0,1.576,5150MHz,5150.0,2.06,5500MHz,5500.0,2.343,5850MHz,5850.0,1.931,Marginal,"Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2377.2 MHz below band center. | Marginal — 5G weak (max SWR 2.77), 2.4G good (1.59)"
RED,RED-02,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2415.5,1.431,2400MHz,2400.0,1.444,2450MHz,2450.0,1.519,2484MHz,2484.0,1.62,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance.
RED,RED-02,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,5GHz,5GHz,4800–6000,5910.0,1.158,5150MHz,5150.0,1.466,5500MHz,5500.0,3.12,5850MHz,5850.0,1.417,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance.
RED,RED-03,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2322.5,1.093,2400MHz,2400.0,1.452,2450MHz,2450.0,1.651,2484MHz,2484.0,1.801,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2322.5 MHz below band center.
RED,RED-03,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,5GHz,5GHz,4800–6000,5946.0,1.051,5150MHz,5150.0,1.486,5500MHz,5500.0,2.876,5850MHz,5850.0,1.462,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2322.5 MHz below band center.
RED,RED-04,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2361.5,1.079,2400MHz,2400.0,1.253,2450MHz,2450.0,1.467,2484MHz,2484.0,1.546,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2361.5 MHz below band center.
RED,RED-04,AliExpress red dual-band antenna (mixed lot),RP-SMA Male,5GHz,5GHz,4800–6000,5067.0,1.092,5150MHz,5150.0,1.246,5500MHz,5500.0,3.878,5850MHz,5850.0,1.29,Do_Not_Use,Mixed lot — each unit may be a different antenna model despite similar appearance. 2.4 GHz resonance 2361.5 MHz below band center.
ST,ST-02,2-inch SMA monopole stubby,SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,1.707,2400MHz,2400.0,2.718,2450MHz,2450.0,2.522,2484MHz,2484.0,2.23,Do_Not_Use,2-inch SMA monopole stubby. 2.4 GHz resonance 2600.0 MHz above WiFi band.
ST,ST-02,2-inch SMA monopole stubby,SMA Male,5GHz,5GHz,4800–6000,5754.0,2.898,5150MHz,5150.0,3.616,5500MHz,5500.0,3.156,5850MHz,5850.0,3.091,Do_Not_Use,2-inch SMA monopole stubby. 2.4 GHz resonance 2600.0 MHz above WiFi band.
ST,ST-03,2-inch SMA monopole stubby,SMA Male,2.4GHz,2.4GHz,2300–2600,2564.8,2.0,2400MHz,2400.0,2.993,2450MHz,2450.0,2.641,2484MHz,2484.0,2.298,Do_Not_Use,2-inch SMA monopole stubby. 2.4 GHz resonance 2564.8 MHz above WiFi band.
ST,ST-03,2-inch SMA monopole stubby,SMA Male,5GHz,5GHz,4800–6000,6000.0,4.179,5150MHz,5150.0,7.974,5500MHz,5500.0,7.172,5850MHz,5850.0,5.006,Do_Not_Use,2-inch SMA monopole stubby. 2.4 GHz resonance 2564.8 MHz above WiFi band.
ST,ST-04,2-inch SMA monopole stubby,SMA Male,2.4GHz,2.4GHz,2300–2600,2402.0,2.205,2400MHz,2400.0,2.211,2450MHz,2450.0,16.412,2484MHz,2484.0,43.494,Do_Not_Use,2-inch SMA monopole stubby.
ST,ST-04,2-inch SMA monopole stubby,SMA Male,5GHz,5GHz,4800–6000,5667.0,1.712,5150MHz,5150.0,3.045,5500MHz,5500.0,8.074,5850MHz,5850.0,3.56,Do_Not_Use,2-inch SMA monopole stubby.
TS,TS-01,Boobrie 3cm mini WiFi stubby,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2542.2,1.526,2400MHz,2400.0,1.866,2450MHz,2450.0,1.828,2484MHz,2484.0,1.682,Do_Not_Use,Boobrie 3cm mini WiFi stubby. 2.4 GHz resonance 2542.2 MHz above WiFi band.
TS,TS-01,Boobrie 3cm mini WiFi stubby,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,4.168,5150MHz,5150.0,11.322,5500MHz,5500.0,5.111,5850MHz,5850.0,4.57,Do_Not_Use,Boobrie 3cm mini WiFi stubby. 2.4 GHz resonance 2542.2 MHz above WiFi band.
TS,TS-02,Boobrie 3cm mini WiFi stubby,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2537.8,1.517,2400MHz,2400.0,1.825,2450MHz,2450.0,1.823,2484MHz,2484.0,1.661,Do_Not_Use,Boobrie 3cm mini WiFi stubby. 2.4 GHz resonance 2537.8 MHz above WiFi band.
TS,TS-02,Boobrie 3cm mini WiFi stubby,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,3.673,5150MHz,5150.0,13.115,5500MHz,5500.0,5.599,5850MHz,5850.0,4.076,Do_Not_Use,Boobrie 3cm mini WiFi stubby. 2.4 GHz resonance 2537.8 MHz above WiFi band.
SW,SW-01,Stubby whip monopole,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2596.2,2.225,2400MHz,2400.0,3.025,2450MHz,2450.0,2.794,2484MHz,2484.0,2.533,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2596.2 MHz above WiFi band.
SW,SW-01,Stubby whip monopole,RP-SMA Male,5GHz,5GHz,4800–6000,5997.0,3.578,5150MHz,5150.0,6.547,5500MHz,5500.0,4.941,5850MHz,5850.0,3.948,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2596.2 MHz above WiFi band.
SW,SW-02,Stubby whip monopole,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2510.8,2.255,2400MHz,2400.0,2.503,2450MHz,2450.0,2.431,2484MHz,2484.0,2.317,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2510.8 MHz above WiFi band.
SW,SW-02,Stubby whip monopole,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,2.591,5150MHz,5150.0,3.997,5500MHz,5500.0,3.468,5850MHz,5850.0,3.057,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2510.8 MHz above WiFi band.
SW,SW-03,Stubby whip monopole,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2560.2,1.766,2400MHz,2400.0,2.768,2450MHz,2450.0,2.407,2484MHz,2484.0,2.068,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2560.2 MHz above WiFi band.
SW,SW-03,Stubby whip monopole,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,3.505,5150MHz,5150.0,6.641,5500MHz,5500.0,5.382,5850MHz,5850.0,3.997,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2560.2 MHz above WiFi band.
SW,SW-04,Stubby whip monopole,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2567.0,2.374,2400MHz,2400.0,2.902,2450MHz,2450.0,2.907,2484MHz,2484.0,2.737,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2567.0 MHz above WiFi band.
SW,SW-04,Stubby whip monopole,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,2.628,5150MHz,5150.0,4.872,5500MHz,5500.0,3.837,5850MHz,5850.0,3.114,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2567.0 MHz above WiFi band.
SW,SW-05,Stubby whip monopole,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,1.74,2400MHz,2400.0,2.873,2450MHz,2450.0,2.652,2484MHz,2484.0,2.326,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2600.0 MHz above WiFi band.
SW,SW-05,Stubby whip monopole,RP-SMA Male,5GHz,5GHz,4800–6000,6000.0,3.286,5150MHz,5150.0,6.569,5500MHz,5500.0,4.991,5850MHz,5850.0,3.716,Do_Not_Use,Stubby whip monopole. 2.4 GHz resonance 2600.0 MHz above WiFi band.
AccelTex4,AccelTex4-01,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2556.5,1.351,2400MHz,2400.0,1.823,2450MHz,2450.0,1.558,2484MHz,2484.0,1.567,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.53), 2.4G good (1.76)"
AccelTex4,AccelTex4-01,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5817.0,1.361,5150MHz,5150.0,1.915,5500MHz,5500.0,2.104,5850MHz,5850.0,2.145,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.53), 2.4G good (1.76)"
AccelTex4,AccelTex4-02,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2555.8,1.047,2400MHz,2400.0,1.503,2450MHz,2450.0,1.25,2484MHz,2484.0,1.254,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.42), 2.4G good (1.46)"
AccelTex4,AccelTex4-02,AccelTex ATS-01047 2.4/5 GHz 4/6 dBi 4-element indoor/outdoor omni antenna with RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5907.0,1.393,5150MHz,5150.0,1.895,5500MHz,5500.0,1.821,5850MHz,5850.0,2.334,Marginal,"Cable-affected measurement — integral 36"" pigtail as shipped. SWR at resonance is the validity metric; in-band spot readings are cable-influenced. SWR@res clean (1.18–1.39) across all 4 ports confirming well-matched elements. Enterprise grade Hubbell/AccelTex 4-port MIMO panel. In-band SWR elevation consistent with cable standing-wave artifact, not antenna defect. | Marginal — 5G weak (max SWR 2.42), 2.4G good (1.46)"
